x,y,l_button_down,stamp
117,152,1,0
117,152,1,19986225
116,152,1,39976486
114,152,1,59980800
111,152,1,79977132
108,152,1,99980265
101,155,1,119976050
97,157,1,139974829
95,158,1,159976560
94,160,1,179977019
91,162,1,199980026
89,164,1,219978348
87,168,1,239979508
86,171,1,259977821
85,175,1,279984047
85,177,1,299979851
86,180,1,319979125
87,182,1,339982318
89,185,1,359980946
91,189,1,379980314
96,191,1,400015675
103,194,1,420009267
106,194,1,439983192
110,197,1,459981682
113,199,1,479982131
118,203,1,499980417
120,206,1,519983592
123,211,1,540007460
125,213,1,560010564
127,217,1,580010793
129,221,1,599981592
130,224,1,620011026
131,227,1,640025703
131,231,1,659980157
131,234,1,680001205
129,238,1,699978438
128,240,1,720007938
123,246,1,739977504
120,248,1,759978910
117,250,1,779977017
114,252,1,800041976
109,254,1,820002674
105,255,1,840008058
100,255,1,860004781
94,255,1,880026933
89,255,1,901659625
87,255,1,919998914
85,255,1,940155879
83,254,1,959999068
83,254,1,980006269
83,254,1,1000041670
83,253,1,1020004438
81,249,1,1040056526
80,245,1,1059990986
80,242,0,1080016011
80,242,0,1099982095
80,242,0,1119990856
80,242,0,1139992349
80,242,0,1159989817
80,242,0,1180028649
80,242,0,1199988510
80,242,0,1220020368
80,242,0,1239988025
80,242,0,1259985899
80,242,0,1280005512
80,242,0,1299997029
80,242,0,1319990391
80,242,0,1339985929
80,242,0,1359982958
80,242,0,1380002877
80,242,0,1400010439
80,242,0,1420050094
80,242,0,1440000191
137,246,1,1459973973
137,246,1,1480000390
137,246,1,1500149002
137,245,1,1520031246
138,244,1,1540014306
141,239,1,1559983613
147,229,1,1580028559
150,222,1,1600020480
156,211,1,1620013764
159,206,1,1640033362
160,204,1,1659987856
160,203,1,1680012013
160,203,1,1699986855
160,203,1,1719982323
161,203,1,1739984402
164,207,1,1759985514
167,217,1,1779992257
170,229,1,1799987189
173,240,1,1820010593
177,253,1,1839985456
178,258,1,1860018233
178,258,1,1879983945
178,258,1,1899977283
178,258,1,1919995994
178,258,1,1939998436
178,258,1,1959996673
178,258,1,1980028788
178,258,0,1999991528
178,258,0,2020253112
